Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-09-01,-0.013484,-0.006692,-0.005003,-0.012124,-0.021007,-0.023317,-0.040854,-0.007488,-0.01764,-0.014521
2022-09-02,-0.001553,0.020436,-0.008188,-0.010909,-0.008506,-0.001705,-0.000814,0.002515,0.00266,0.00681
2022-09-05,0.011512,0.03169,0.001738,-0.001379,0.000975,-0.005857,0.00896,0.000976,-0.002653,-0.012422
2022-09-06,-0.001846,-0.011519,0,-0.008283,0.007207,0.005646,-0.004037,0.000139,-0.003547,0.004608
2022-09-07,-0.014792,-0.025032,-0.012146,-0.023202,-0.006575,-0.006834,0.006485,-0.009467,-0.004449,0.008553
2022-09-08,0.024711,0.018371,0.022687,0.023753,0.043411,0.02261,0.019329,0.020801,0.019665,0.021509
2022-09-09,0.004274,0.006086,-0.003006,-0.007425,0.006343,-0.000961,0.006847,0.002065,0.00789,0.002045
2022-09-12,0.016109,0.005401,0.005886,0.006078,0.019466,-0.00409,0.002616,-0.003435,0.013916,0.022935
2022-09-13,0.004487,0.001934,-0.002997,0.000465,0.000546,-0.001449,0.008088,0.003033,-0.001501,-0.001057
2022-09-14,-0.034247,-0.04139,-0.017893,-0.036229,-0.051436,-0.01403,-0.020445,-0.003024,-0.015464,-0.03819
2022-09-15,-0.00185,0.002908,-0.00481,0.009157,-0.002491,0.000981,-0.000264,-0.002344,-0.012653,0.00733
2022-09-16,-0.017918,-0.018961,-0.015231,-0.005731,-0.034675,-0.004657,-0.002907,0.010641,0.005745,-0.013099
2022-09-20,-0.001258,0.001137,0.000595,-0.005283,0.021553,0.008865,0.008216,0.003419,-0.006151,0.007619
2022-09-21,-0.010394,-0.019986,-0.032105,-0.017866,-0.018558,-0.023676,-0.01919,-0.002589,-0.010389,0.001342
2022-09-22,-0.008911,-0.025493,0.008446,-0.009833,-0.00617,0.014,0.009381,-0.011477,-0.00402,-0.009988
2022-09-26,-0.04817,-0.030202,-0.040201,-0.03853,-0.011416,-0.032051,-0.044875,-0.050173,-0.046872,-0.008366
2022-09-27,0.004049,0.026729,0.005553,-0.005164,0.004052,0.011717,0.005282,0.007858,-0.001412,0.008809
2022-09-28,-0.012433,-0.007643,-0.009467,-0.007371,-0.004843,-0.016365,-0.012445,-0.013572,-0.018379,-0.042307
2022-09-29,-0.003754,0.014961,0.021746,0.006613,-0.001419,0.015556,0.023388,0.003147,0.019508,0.021703
2022-09-30,-0.018157,-0.010699,-0.036103,-0.031599,-0.027411,-0.042124,-0.024248,-0.026595,-0.02476,-0.035822
2022-10-03,0.043266,0.018745,0.022898,0.024015,0.011065,0.034915,0.017424,-0.005372,0.012817,-0.005084
2022-10-04,0.014381,0.034206,0.036137,0.025239,0.03758,0.032192,0.08338,0.031173,0.04989,0.020178
2022-10-05,0.025058,0.005931,0.004167,0.001436,0.027264,-0.001497,0.001555,-0.00419,-0.004172,0.009247
2022-10-06,0.004825,0.004082,0.015675,0.016593,0.010849,-0.0005,0.003622,0.003457,-0.001862,0.014762
2022-10-07,-0.010563,-0.020777,-0.010592,-0.003426,-0.004791,-0.00725,-0.007476,-0.022465,-0.010961,0.001881
2022-10-11,-0.027176,-0.019373,-0.027833,-0.040946,-0.047564,-0.009569,-0.016104,-0.003984,-0.010846,-0.038678
2022-10-12,-0.01563,0.014817,-0.005191,-0.014548,-0.006065,0.01195,-0.001848,-0.005845,-0.002622,0.023177
2022-10-13,0.004054,-0.021321,-0.011543,-0.0046,-0.007323,-0.003266,-0.010844,-0.000464,-0.016013,0.001273
2022-10-14,0.020188,0.030784,0.037754,0.042988,0.018648,0.012352,0.04385,0.020433,0.030848,0.084011
2022-10-17,-0.029024,-0.022054,-0.01002,-0.006079,-0.028767,-0.003984,-0.032018,0.024424,-0.011781,-0.01278
2022-10-18,0.021739,0.050505,0.009187,0.011196,0.021955,0.00375,0.01376,0.009774,0.009537,0.011283
2022-10-19,0.007979,-0.006932,-0.00216,0.005229,-0.010134,-0.001993,0.005221,0.009972,0.001181,0.011274
2022-10-20,-0.014842,-0.009908,-0.008505,-0.008159,-0.016175,0.00025,0.003635,0.006244,-0.006605,-0.021833
2022-10-21,-0.005357,-0.003866,-0.00811,-0.01491,-0.002706,-0.008234,-0.01837,0.003319,-0.004987,-0.006055
2022-10-24,0.022888,0.024429,0.008805,0.003549,0.019825,0.004528,0.01766,0.014382,-0.004296,-0.011228
2022-10-25,0.001645,0.00468,0.024158,0.018411,0.029261,0.009767,0.012173,0.006806,0.018936,0.003141
2022-10-26,0.01544,0.025067,-0.004109,0.009499,0.01829,0.001984,0,-0.000986,0.01929,0.001806
2022-10-27,-0.003559,-0.009305,-0.00596,-0.001416,0.015424,-0.010396,-0.014585,-0.025796,-0.009924,0.008895
2022-10-28,-0.002922,-0.008519,-0.019985,-0.008207,-0.005768,0.015508,-0.005713,-0.005209,-0.003496,-0.020017
2022-10-31,0.012048,0.011236,0.060392,0.020329,0.089151,0.014532,0.005223,0.017455,0.022222,0.008997
2022-11-01,0.00547,0.013072,0.038314,0.006207,0.034446,-0.019422,0.034554,0.005432,-0.005492,0.000723
2022-11-02,-0.00704,-0.015914,-0.007124,0.070149,-0.00309,-0.002476,0.007785,-0.001422,0.007593,-0.001204
2022-11-04,-0.003867,-0.015953,0.003874,-0.005114,-0.037534,-0.014644,0.001495,-0.000427,-0.018497,-0.004219
2022-11-07,0.021029,0.010437,0.007576,0.013551,0.019141,0.00403,0.020403,0.002564,0.006515,0.015012
2022-11-08,0.011407,0.005494,0.007661,0.032734,0.011761,0.005018,0.021702,0.009946,-0.029126,-0.004055
2022-11-09,0.018171,-0.012022,0.006195,-0.000893,-0.005552,-0.007239,0.000716,-0.003236,-0.002381,-0.024671
2022-11-10,-0.015692,-0.005752,-0.008955,-0.015192,-0.003664,-0.015087,0.005008,0.003105,-0.013843,-0.010191
2022-11-11,0.065646,0.079884,0.02866,0.055354,0.063036,0.0217,0.012577,0.000141,0.040174,0.019601
2022-11-14,0.016134,0.009685,-0.015235,-0.003009,-0.006095,-0.007496,-0.012655,-0.010551,-0.015356,0.01533
2022-11-15,0.000866,-0.066735,0.007247,-0.000431,-0.004972,0.006042,-0.004747,0.0273,0.002363,-0.004793
2022-11-16,0.02019,0.010715,-0.003044,-0.017256,0.005496,-0.001001,0.005724,-0.004152,-0.011787,0.003612
2022-11-17,-0.020073,-0.008438,0.006107,-0.01712,-0.01292,-0.001253,-0.00996,-0.002502,0.027195,-0.010678
2022-11-18,-0.007501,-0.031857,-0.000552,0.002233,-0.012083,-0.000251,-0.001198,-0.00627,-0.008825,-0.001213
2022-11-21,0.014535,-0.001578,0.007177,0.003119,-0.001869,0.005018,0.009592,0.009114,0.013121,-0.002428
2022-11-22,0.002579,0,0.005893,0.016881,0.008679,0.023465,0.01829,0.021954,0.006707,-0.008885
2022-11-24,0.015433,0.002257,0.007357,0.021407,0.023452,-0.001707,0.026825,0.021346,0.019527,-0.010561
2022-11-25,0.00197,-0.003604,0.003246,-0.007699,-0.015331,0.003909,-0.009541,0.009984,0.01397,-0.00844
2022-11-28,-0.007865,-0.000452,-0.00364,-0.007759,-0.003348,-0.010465,-0.008028,-0.008963,-0.011333,0.002253
2022-11-29,-0.008211,-0.00588,-0.005818,-0.012163,-0.01831,-0.013527,-0.002775,0.016625,0,0.01736
2022-11-30,0.00314,-0.015241,-0.006668,-0.010114,-0.022245,0.002493,-0.006028,-0.012166,-0.006294,-0.007979
2022-12-01,0.015936,0.016401,0.003151,0.00622,0.021876,-0.005969,-0.005832,-0.009403,0.002036,0.024378
